이준용(juny****),9,"한국이 많이 나와서 좋았는데, 울트론이 살짝 아쉬웠다",2020.08.04 21:48
crystal(crys****),3,마블 악당들은 단순해,2020.07.26 10:37
9gg9gg(kdw7****),9,마지막 부분이 아쉬웠다,2020.07.24 16:57
HOMEOSTASIS(xogu****),10,스파이더맨은 토비맥과이어 뿐이다.,2020.07.24 00:00
듀오론(thed****),6,"""어벤져스는 이기지 못할거야""라며...울트론 존나 쎈줄 속았잔아...헐크랑 헐크버스터 싸움에 10분의 1도 안되는 약함 뭐임..총알은 튕겨내면서 화살에 헤드샷 당하는 울트론 쫄따구들...인간인 로마노프...",2020.07.20 23:06
Joy(joy0****),10,평점 보다는 훨씬 더 재밌었는데...,2020.07.11 09:46
동훈(pssl****),10,어벤져스  에이지 오브 울트론,2020.07.10 10:32
jjanoong(cowb****),10,가끔 캡틴의 고지식함이 고구마같지만 그래도 아메리칸 엉덩이니까 봐준다 ㅋㅋㅋ,2020.07.05 10:20
NS(dlst****),8,실제로 미래에 일어날 수 있는 일. 차이점은 현실엔 어벤져스가 없다는 것?,2020.06.27 11:35
121(1212****),10,무슨 말이 필요한가.어벤져스다.,2020.05.27 16:56
pont****,7,서울의 우중충한 색채.속편의 나쁜 점을 답습하는 어벤져스.,2020.05.20 15:29
배소미(mkmi****),9,"전에는 어벤1이랑 비교해서 별로라고 생각했는데 다시보니까 명작임, 진짜 재밌음!! 완다 처음 나왔을때의 그 마녀같은 모습이 너무 좋음, 다만 애가 점점 멘탈이 달랑달랑 해져서 안타까울뿐",2020.05.09 00:22
은이(jde6****),10,다섯번 넘게 본거같은데 재개봉해서 영화관에서 다시보니 좋네요!,2020.05.01 22:53
arha****,9,역시 어벤져스! 명불허전! 액션볼거리.각주인공들 활약상.스토리.캐미. 모두조화됨.끝까지 물량투입으로 몰아치는 재미 대만족. 아무도없어 독채 1인관으로 봄!,2020.04.30 16:11
prin****,6,전편보다 깊숙이 파고드는 듯 하다가 결국 어수선한 물량공세로 마무리. 주제의식과 세계관에 좀 더 집중했으면 어땠을까 싶다. 배우들과 히어로 수트의 혼연일체는 한 단계 업그레이드! 히어로들 간의 앙상블은 두 단계 업그...,2020.04.28 20:07
pon0****,9,울트론급 빌런으로는 웬만해선 그들을 막을 수 없다.,2020.04.28 15:04
박매력(bht6****),6,비극을 만들어내는 영웅,2020.04.27 19:54
