헤셀(hese****),10,오랜만에 긴장감과 감동을 느꼈다,2020.08.19 15:58
oys2****,1,곽도원이나혼자 산다 나온 이유가 있죠,2020.08.19 15:57
mrmm****,8,영화만으로 보면 7점정도 잠수함 씬 볼만 했습니다.정치적으로 들어가면 대한민국이 중국 일본 미국의 눈치를 보는 암울한 현실을 반영한 영화네요. 미국 중국 일본 북한 어디하나 안깐 내용이 없는데 반미 영화라 그러는걸까...,2020.08.19 15:54
잔다로크(hsm5****),2,1에 비해...액션도 없고...머지 이게...차라리 잠수함에 좀비 한마리 풀어놧으면 더 재미지는것을 어렵게 풀어가네...,2020.08.19 15:42
오딧세이(hm18****),2,재미오지게없다 다시는보고싶지않다,2020.08.19 15:38
수(khs2****),2,걍 아주 따분할 뿐입네다~,2020.08.19 15:36
장기곶(5dn8****),1,"현 정권바라기 영화, 극노잼, 손발오글거림주의, 허술한 설정 어색한 연기력. 강철비란 제목은 왜 붙여갖고선...",2020.08.19 15:25
라온제나(gmla****),8,연기가 빠지는 사람은 없음 다만 각본이 문제임,2020.08.19 15:24
banth(ffso****),6,진짜 유연석 때문에 봤다..,2020.08.19 15:21
Kdh(egeg****),1,존나 재미없다 무슨 영화가 말만 하다 끝나냐 시바 강철비는 거른다 앞으로,2020.08.19 15:11
Kdh(egeg****),1,존나 재미없다 무슨 영화가 말만 하다 끝나냐 시바 강철비는 거른다 앞으로,2020.08.19 15:11
꿈큰이(ritz****),1,ㅋㅋㅋ 적당히 빨아라. 헐것다. 에휴,2020.08.19 15:11
nike81(skni****),2,변호인 강철비1 만든 감독이 만든거 맞나 싶다.쓰레기 억지 웃음 수준 이하 영화임,2020.08.19 15:07
nick****,1,연기개판 내용개판...쓰레기 영화,2020.08.19 15:03
김성곤(chan****),7,"시간이 조금 지나면서부터 극이 나아가는 방향이 뚜렷이 보인 작품으로 아주 조금의 극적인 요소는 있었으나 결국 기대하난 만큼의 반전은 없었으나, 끝장면에서 정우성의 한반도 즉 우리 민족에 부흥에 대한 열망이 담겨있는 ...",2020.08.19 14:58
narc****,10,재밌네요. 1000만관객을 향하여...,2020.08.19 14:58
오즈(seok****),1,정말 스토리도 개판 연기도 개판...  뭐하나 봐줄래야 봐줄게 없다 ..  이건 잠드는 것보다도 훨씬 못하다...  정말 간만에 쓰레기,2020.08.19 14:53
spindog(spin****),4,"잠수함 전투씬 20여분 정도만 긴장감 돌면서 잼 나네요. 잠수함내에서 지도자들(미국,한국,북한) 방귀씬은 정말 어이가 없습니다.이 내용을 돈주고 보다니.. 억지 웃길려고 하는건 필요없어요. ㅠㅠ",2020.08.19 14:52
Twin Daddy(gayd****),2,재미있을수도 있는 얘기를 디테일과 편집이 다 망쳐놓았네요. 자국의 이익을 위해선 초등생이나 국가원수나 별반 다르지 않을듯 합니다.,2020.08.19 14:52
엘리(skfe****),8,신정근 배우님이 열일 하심.,2020.08.19 14:40
_(vort****),8,이제야 봤네요. 잘 봤습니다.,2020.08.19 14:36
