바다(park****),10,큰 내용 없지만  볼만 했음 초반에  안대 쓴애가 누구였지  왜 쓰러졌지 생각  안나서  혹  했는데  막판 김남길  보고  아차  싶었음,2020.08.18 03:34
pp9(pp94****),8,킬링 타임으로 보기좋은듯,2020.08.18 03:25
녹차보이(blue****),8,타임킬링영화예요그냥 웃으면서 볼 수있어요배우들 연기가 좋은 편은 아니예요 스토리도 현실정이 좀 없고... 여튼 그래도 재미있게 봤습니다 ㅋ,2020.08.18 02:48
68L(stin****),10,"가볍게 보기 좋음, 정말 오랜만에 극장가서 보고왔는데액션도 시원하니 좋았다",2020.08.18 02:21
룽(ksw1****),10,기대를 안 하고 봤는데 재밌었고 또 봐도 좋을만큼 개인적으로 마음에 들었다!예상 못한곳에서 나 혼자 큭큭 웃음 ㅋㅋㅋㅋ 가볍게 보기 좋음,2020.08.18 02:21
soo(sooa****),1,"클레멘타인 이후 최고의 영화 전개. 스토리 개연성 다 밥말아먹은, 쟁쟁한 배우의 연기력이 무쓸모인 영화. 손에 땀을 쥐게하는 액션은 커녕 악당들은 착하고 참을성이 만렙에다 승객들은 담력왕. 나도 작가, 감독 할수 있...",2020.08.18 02:11
기쁨(aqua****),8,가족영화! 욕이 없어서 좋았어용 ^^,2020.08.18 02:07
철없는고딩(shoc****),10,ㅋㅋ아 생각보다 재밌게 봤네요,2020.08.18 02:02
feve****,7,엄정화&박성웅 케미좋고 비행기안 좁은공간에서의 액션은 압권,2020.08.18 01:54
로맨짱(loma****),2,이 영화는 15세이상 금지로 해야할듯 유치찬란한 내용이며 오바스러운 연기며 요즘 나오는 애니메이션들보다도 유치한듯 어설프게 영화 극한직업 따라한 초등학생 방학특선영화느낌 그나마 엄정화 액션하나만 엑기스,2020.08.18 01:46
dlql****,10,그냥짱잼 다연기좋아요ㅎㄹ,2020.08.18 01:36
정주하(jjuh****),10,간만에 마음 편히 웃을 수 있는 코미디 영화 봤어요. 다른 영화 안 보고 이거 예매해서 보기를 잘함!,2020.08.18 01:34
Mohawk(ramb****),1,누가되었든 같이보자하면 등짝맞음ㄷ,2020.08.18 01:32
나이거 참(prim****),2,알바들아 양심좀? 박성웅인기팔이로 저급 쓰레기 영화 많이찍더라 ?그래서  그 애들 나오면 안보기로했다 ㆍ,2020.08.18 01:27
하이쭈(ksng****),10,아무생각없이 편하게 즐기며 웃고옴나름 반전이 있어서 좋았다,2020.08.18 01:22
baga****,10,이거 보세요  2020년도반도살아있다다만 악에서 구하소서 에 이은 올해 마지막 액션감동 무비 가족 연인과 꼭 같이보세오,2020.08.18 01:17
이상은(dltk****),6,"기대없이 보면 볼만함. 기대하지말고 보면 괜찮을듯.그런데 스토리가 억지로 끼워 맞춘것도 있고, 잉? 이런 부분도 있었음.그리고 솔직히 박성웅님 없었으면 코믹에서 망했음.",2020.08.18 01:08
주랑(glor****),7,생각없이 가볍게 보기 좋은 영화아무 정보 없이 가서 보면 좋아요:),2020.08.18 01:05
어쮸쮸내새끼(cek0****),10,여러모로 힘든 요즘 한바탕 웃을 수 있어서 좋았어요.엄정화 배우의 액션또한 훌륭해서 보는 내내 통쾌하고 속 시원했네요~대박행진 응원합니다,2020.08.18 01:04
pon0****,5,이광수는 전생에 나라를 구한게 틀림없다.,2020.08.18 01:00
현진(fksl****),1,제발 이런거만들지 마세요,2020.08.18 00:55
나는요(dnjf****),10,오랜만에 극장 나들이 다녀왔어요 ^^ 초등학생 아이들과 함께봤는데.. 초딩 4학년딸이 엄정화씨 액션씬보며 박수쳐서 민망했지만 웃을 일 없는 요즘!맘껏 웃을 수 있어서 넘 좋았어요 반전도 있고 잼있어요,2020.08.18 00:47
송민욱(ugi1****),1,뭔 평점이 이렇게 높냐... 장난치나...,2020.08.18 00:45
캡틴아메리카노(kimy****),2,유치하고 가족영화라고 친다 해도 과해요... 다 댓글알바 같은데 이상하다아 시간 아깝다,2020.08.18 00:43
낙타탄소년(wjdw****),1,이 영화를 보면 안되는 이유1.억지+오버 연기와 연출.2.하나도 재미없는 쥐어짜내는 웃음 포인트.3.뻔하디 뻔한 스토리.4.전형적인 노잼 영화.5.돈이 아까움 절대 보지 마셈    간곡히 부탁드림,2020.08.18 00:42
꿈꾸는다락방(gpff****),8,웃고  편하게 볼수잇는 영화~~비록 마스크쓰고  봐야하는  불편함도 잇지만  그래도  볼만한재미요소가  많아요,2020.08.18 00:42
사랑해(mib2****),10,오랜만에 70대 엄마도 13살 딸도 40대 오빠와 저도 너무나 재미있게 봤네요~^^ 너무 재미있어도 고1 제자들도 예매해줬는데 너무 재미있었다고 연락왔더라고요 ㅎㅎ 1만원도 안되는 돈으로 간만에 힐링 잘했너요^0^/...,2020.08.18 00:38
김혜림(khr0****),2,재미도 없고 감동도없다웃기지도않고... 재밌다고하는사람들은 뭐지...공짜로봐도안볼듯,2020.08.18 00:36
윤하영(1004****),10,,2020.08.18 00:28
용문효(yool****),10,,2020.08.18 00:23
소미맘(kiss****),10,딸아이와 오랜만에 엄청웃었네요,2020.08.18 00:23
윤선영(seri****),2,너무 재미가 없어서 시계를 계속 보게 되네요. . 더운 여름 피서를 위해 급 제작한 영화같아요,2020.08.18 00:19
유닉핏(unic****),10,,2020.08.18 00:18
redw****,4,비행기에서 펼쳐지는 클리세의 향연!어설픈 반전!방황하는 웃음 포인트!,2020.08.18 00:12
고광민(esu8****),3,너무 억지 웃음 유발어이없는 반전 전개박성웅이 아까운 영화,2020.08.18 00:10
김선생(hotj****),1,제작진과 배우들은 아직도 이런수준낮은 코미디가 먹힌다고 생각한건가 국민수준을 더없이 낮게 본거다그리고 평론가들에게 묻고싶다. 진심인건지..반전을 위한 한심한 반전에 형편없는 스토리라인 무엇하나 빼놓지않고 졸작이다.감...,2020.08.18 00:10
Sion(dpfl****),10,개꿀잼입니다 진짜 두번보세요,2020.08.18 00:10
분당케빈(ksm2****),1,진심 평점알바에당했네요.. 그냥끝나자마자 돈아깝다 시간아깝다 한숨이다나오네요. 그냥전부 오버연기에 웃음포인트하나없고 스토리도 진부하고 너무 유치해서 헛웃음밖에안나옵니다. 시간많으면보세요 히트맨이후 돈아까운영화또생겼네...,2020.08.18 00:03
이지이짓(spir****),10,조아요~! 추천합니당,2020.08.17 23:58
조동근(dkch****),10,,2020.08.17 23:54
tt14****,1,댓글알바 개쩐다..  단체일행만 아니면뛰쳐나갔다 ㅡㅡ,2020.08.17 23:45
노마(duck****),10,,2020.08.17 23:42
경상도짝귀(fort****),2,웃긴거 나오겠지 하다 끝남.,2020.08.17 23:41
카르페디엠(mink****),10,엄정화 액션 너무 볼만해요 재밌게 잘봤습니다^^,2020.08.17 23:39
Miyote(ikha****),2,"어떤점이 좋았는지를 누르라는데 뭘 눌러야 할지 몰라서 고민했네요스토리는 없다고 보시면 되고..영상미도 없다고 보시면 되고..연출은 글쎄.. 스토리가 커버하지 못해서, 연기로 대충 커버하는데공감되는 부분이 없어서. 나...",2020.08.17 23:39
tnse****,1,그냥 보라고 해도 안봐요 절대연기 스토리 똥이고 코미디영화인데 이런 억지웃음 짜내는영화는 처음이네요보실거면 다만악 보세요,2020.08.17 23:38
세아이맘(he31****),10,즐겁게 이시국에  실컷 웃고 왔어요~^^,2020.08.17 23:32
이레(anhj****),4,과장된 코믹연기가 너무 오글거렸습니다 오케이 노이로제 걸릴 것 같습니다 오케이? 오케이!,2020.08.17 23:29
dlkkk(ldm9****),6,큰기대 없이 쏘쏘 하게 볼수 있음,2020.08.17 23:24
Young(jaey****),9,생각없이 보기 좋은 영화!! 병맛코미디,2020.08.17 23:22
j4754(js54****),10,킬링타임으로 딱! 재밌고 감동적이고 김남길이 잘 잠,2020.08.17 23:21
유흔(dbgm****),2,별하나도 아깝다..정말 형편 없는 영화,2020.08.17 23:18
우리(heal****),6,플롯은 매우 엉성 하지만 가볍게 피식하며 웃음 나는 B급 감성 코미디영화,2020.08.17 23:15
후니훈(hdhu****),10,가볍게 보기 좋네요,2020.08.17 23:13
htt0****,10,넘  와이프랑 재미나게 봤네요~^-^믿고보는 엄정화 연기도 좋고  잼있게 웃으며 본 영화~^^'넘  큰 기대 안하고 보시면  재미나게 볼수 있는 영화같네요~약간의 반전도 있구요~ 가족끼리 봐도 유쾌하게 즐길수...,2020.08.17 23:11
찌이(myhe****),9,가볍게 웃으며 볼수있는 코미디. 오랜만에 기분좋게 영화봤네요. 즐거웠어요.,2020.08.17 23:09
한지우(jiwo****),6,이 영화의 결점은 딱 세가지다1.감독의 유아용 영화같은 연출력2.박성웅은 왜 이렇게 찡찡거림?3.김남길은 불러내서 잠만 재움,2020.08.17 23:05
법사(yell****),6,살다살다~이런영화를ㅜ,2020.08.17 23:03
박지은(jieu****),10,,2020.08.17 22:56
yuoo****,5,너무 재미없음... 시간아까움,2020.08.17 22:55
33이(gggg****),10,억지감도없고 유쾌하게 잘 풀어서 만족합니다,2020.08.17 22:53
J Honey(kimh****),3,"애는 많이 쓴것 같은데... 개그영화에서 개연성을 따지는건 분명 넌센스지만, 영화가 너무 재미없어서 개연성이 신경쓰였다. 누가 이영화 본다면 말릴만한 영화다. 제작사, 감독, 배우들에게 악감정은 없다.",2020.08.17 22:46
두리(rest****),10,더운날 가벼운 마음으로 잘웃었어요 시원한 영화느낌!! 엄정화언니 사랑합니다~!!,2020.08.17 22:46
khs9****,1,내돈 내놔!! 오케이??,2020.08.17 22:45
지에스타(sung****),10,ㅋㅋ완전웃기고 액션도꽤나 나와요 강추강추,2020.08.17 22:42
어진바른맘(nurs****),10,대박나세요~~~ 재밌어요,2020.08.17 22:39
김김김냥(k232****),10,가족이야기라서 저는 울었던 장면이 많아요 딸아이 엄마라 그런가 ....유쾌하고 오랜만에 많이 웃었습니다 ^^,2020.08.17 22:31
BS(nike****),10,시국만 잘 만났어도 천만영화 인 데..,2020.08.17 22:28
쟈니홍(junp****),1,와 정말 이런걸 와 돈주고 만드노?공짜여도 안 본다,2020.08.17 22:28
MSH(ans6****),10,정말 재밌었어요ㅎ여름에 어울리는 시원시원한 영화네요^^,2020.08.17 22:25
soot****,10,기대이상! 넘 재미있게 봤습니다. 요즘 시기에 딱이네요^^,2020.08.17 22:24
주보라(qhfk****),2,"별 하나 주기도 아까워요. 진심 중간에 나오려다가 돈이 아까워서 끝까지 봤는데 차라리 나올걸 그랬어요. 시간, 돈 버림..",2020.08.17 22:19
simfamily(smil****),2,흠... 추천 안드릴게요..,2020.08.17 22:19
달기마녀(cion****),2,진짜 1점도 아깝습니다. 후회하지말고 이글보시는 분들은 절대로~~~! 보지마세요,2020.08.17 22:15
sonjin(92ji****),10,무슨 내용인지도 모르고 그냥 친구가 보자해서 봤는데 재밌었어요 나중에 가족들이랑 한번 더 보러가려고요ㅎㅎㅎ,2020.08.17 22:15
조션(josu****),10,기대 안 하고 봤는데 진짜 울다싶이 웃었음하압 또 찾아서 볼듯,2020.08.17 22:15
그린티(yth9****),10,유쾌...상쾌.... 통쾌....,2020.08.17 22:14
blue****,10,"찐잼!!!반전에 반전인 스토리도 탄탄하고액션도 좋고, 캐릭터들이 개성 있게 재미있고 한국인이라면 너무나 공감되는 시원~한 웃음포인트들과 감동들 좋았습니다!",2020.08.17 22:11
Wps(cook****),10,나는 잼있었는뎁....,2020.08.17 22:07
문수영(msy0****),10,병맛인데 개연성도 나쁘지 않고 되게 재미있었어요!자칫하면 그냥 오글거리고 별로였을 대사와 장면이 배우들의 연기들로 귀엽고 재미있게 표현돼서 너무 좋았네요,2020.08.17 22:06
바이크킹(esto****),1,정말 이렇게 유치하고 말도 안되고 재미없고 돈 아까운 영화는 오랜만입니다,2020.08.17 22:06
joan(tjgm****),10,웃겨요반전에 반전~~무섭지않음재밌게 액션 영화 즐기고싶다면,2020.08.17 22:05
은박지(dmsw****),7,억지감동없는 코미디영화!영화를 4달만에 봐서 그런지 재밌었던...시간가는줄 모르고 재밌게 봤어요김남길이 너무 짧게 나와서 아쉬었지만 존재감 넘쳤습니다♡♡♡,2020.08.17 21:52
김연준(rlad****),1,"진짜 진심으로 7광구, 클레멘타인, 리얼이 이 영화보다 나은 것 같음",2020.08.17 21:52
esse****,6,웃음코드가 너무도 올드합니다감독의 역량이 부족한 영화같네요,2020.08.17 21:51
동해함호(jng1****),1,최근  본 영화중 제일 재미없었네요. 누가 보로간다고 하면 말리고싶네요. 아래분 이야기 처럼 특선영화 나오면 그때보시길 추천합니다..,2020.08.17 21:50
노히(nhj9****),4,재미 안짐....기대하지말고 보셔요,2020.08.17 21:49
1교시(gaya****),10,^^ 가볍게 웃으며 보기 좋아요ㅎ  나름의 반전에 반전에 반전도 있고   로맨스도 있고  모성애도 있고ㅎㅎ  우리 가족 셋  모두 대만족했어요ㅎ,2020.08.17 21:47
sara****,6,영화   끝나면   뭐지?  하는   긴장감  없는  뻔한  코믹영화.,2020.08.17 21:46
미숫가루(wjdd****),10,오랜만에 코미디영화다운 코미디 영화를 봐서 힐링됐네요ㅎㅎ 믿고보는 엄정화배우 영화였습니다!,2020.08.17 21:36
파이팅(thgu****),4,"부산대 롯데시네마에서 관람했습니다영화 보기전에 괜히 리뷰보고 기대해서 좀 아쉽네요초반까지는 그럭저럭 볼만했고중반~후반으로 갈수록 뻔한 스토리에 지루했습니다.요즘 영화들은 왜 이렇게 남,북이랑 엮는지 솔직히 거부감 들...",2020.08.17 21:32
나냉(nara****),1,유치하고.. 노잼 억지웃음유발 인생최악ㅠ,2020.08.17 21:31
cho(choi****),10,액션도 너무좋고 스토리도 너무좋아용 가족끼리 봤는데 너무 재밌네용,2020.08.17 21:25
kkoe****,10,다만악도 보고 이것도 봤는데 오히려 이게 더 개연성은 좋았어요 너무 꿀잼이었어요!! 시간가는줄모르고 봤습니다 ㅠㅜ믿고보는 엄정화 액션연기! 너무너무 재밌었습니다!!,2020.08.17 21:24
par(park****),10,,2020.08.17 21:07
글쎄(minj****),4,너무 오글거리는거 빼곤 괜찮,2020.08.17 21:07
신짱구(thdg****),10,반전의 반전의 반전의 연속!걍 진짜 너무재밌고 스토리도 알차서 우와... 하게되는영화,2020.08.17 21:04
지혜(wlgp****),10,오랜만에 너무 재밌었어요! 강추!,2020.08.17 21:04
꾸룩(yhja****),8,오랜만에 영화관 가서 재밌게 봤습니다,2020.08.17 21:03
ra17****,10,에어컨 잘 쐬고 갑니다~,2020.08.17 20:58
wptm****,10,,2020.08.17 20:53
왕 영열(yue9****),10,,2020.08.17 20:53
박정민(heeh****),4,재미없는건 아닌데 재미있지도않음영화관가서 보기에는 돈아깝고 나중에 티비에서 공짜로 상영할때 보면 볼만한 영화임스토리 뻔하고 예측가능해서 아무생각없이 보려는사람만 보길 추천,2020.08.17 20:50
mt99****,1,내용이 산으로가는 전개에 시덥지도 않은 개그연발 안보는거 추천함,2020.08.17 20:46
eun(ussi****),6,평점보고 좋아서 오호 하고 봤는데기대를넘한것도 아닌데개인적으로 유치하고 연기들도 어색하고웃음포인트도 모르겠고 다보고는 나왔는데친구랑 좀 그랬어요ㅎㅎㅎ (개인적의견),2020.08.17 20:44
Jh(9732****),10,반전있는영화! 스토리와 비행기안에서의 일어나는 일들로 구성되어 여태 보지못했던 내용이라 너무재미있고 배우들모두 연기잘하시구 엄정화배우의 액션연기 잘하셔서 보는내내 감탄!보시는준들마다다르겠지만 오랜만에 재미있는 영화를...,2020.08.17 20:44
권우진맘(each****),10,친정엄마랑 아이들이랑 가족모두 편안하게 웃으며 볼수있는 영화입니다 제가 넘 잔인하거나 한 장면은 극도로 스트레스 받는 스타일이라서 딱 보기 좋았어요 배우들 각각 개성도 넘치고 넘 만족입니다,2020.08.17 20:39
시라노(sila****),6,"이거 평점 9점, 10점씩 높게 주는 애들..진짜 수준....수준이하 영화임...정 볼거 없으면 봐라..",2020.08.17 20:38
수지(dahi****),2,기대 안 하고 본건데...킬링타임용 영화도 못됨. 시간 아까움,2020.08.17 20:37
반야심경(qksd****),2,하..솔직히 노잼....,2020.08.17 20:36
luic****,7,그냥 무난한 가족 오락 영화,2020.08.17 20:34
홍란(goom****),10,아무내용 모르고 봤더니 아쥬 빵빵 터졌네!!,2020.08.17 20:31
kkh(kkhy****),1,킬링타임용으로 좋아요~~~라고 하지마라...억울해도 그냥 혼자 손해봐...,2020.08.17 20:29
영희(alrz****),1,"킬링타임용으로 보려고 한건데 이건 킬링타임도 안되는 그냥 멍때리는게 나은 영화,, 좋은 배우님들은 다 나오는데 스토리가 왜 이런건지,, 정말 친구만 없었으면 중간에 10번은 더 뛰쳐나갈뻔,,,",2020.08.17 20:27
영(ssr2****),10,생각보다 볼만했고 재밌었어요,2020.08.17 20:25
mill****,1,"진짜 영화계의 삼류도 아닌 오류입니다..,",2020.08.17 20:24
조석문하생(okok****),4,"박성웅 너무 오버하는거 빼고 재밌음 , 근데 왜 항상 북한애들은 싸움 겁나잘하고 남한 국정원은 몸치로 표현하는지 모르겠음",2020.08.17 20:24
불타는감자(dhqj****),1,이딴 올드하고 저급한 개그 보고도 웃는 사람들이 이렇게나 많은데 개콘은 왜 망했나 몰라....,2020.08.17 20:21
thec****,10,"스파이 영화의 진수!각본,연출,연기,캐스팅...완벽합니다 여기 나온 배우들에게 인생작이 되겠네요!강철비2가 이렇게 나왔어야 1을 이을 수 있었을텐데,강철비2가 매우 아쉽고 또 아쉽게 나온데 비해서 와~이건 정말 잘 ...",2020.08.17 20:21
이뽀(oran****),6,이게 모야...재미 정말 엄덩 ㅜㅜ,2020.08.17 20:20
SSKK(wjst****),10,출연하신 모든 배우님들 최고입니다 ㅠㅠ너무 재밌었고 가족들이랑 한 번 더 보고 싶어요!! 이번 영화 덕분에 많이 웃었어요 감사해요 ?액션 너무 대박 ㅠ멋져요,2020.08.17 20:16
김하나(the1****),2,이 영화를 보면 하와이 가족여행권 당첨시켜준다 해도 보지 않을만큼 손발이 오그라들고 재미 없는 영화 괜찮은 배우들을 이런데 출연시키다니 최근 3-5년간 본 영화중에 제일 최악 노잼 억지웃음코드 손발이 오그라들다 못해...,2020.08.17 20:15
NU(kimj****),10,뭐 이정도면 웃기죠...요즘 뭐 웃을거리 있나요?그냥 가볍게 보세요 나름 괜찮은 코미디에요,2020.08.17 20:13
레몬쥬스(ushw****),10,액션도 어설프지 않고 흥미진진하네요.약간의 스토리 억지는 있지만 잼났어요,2020.08.17 20:11
김영웅(qhfm****),6,남자 기준..처음..영화 보는 내내 어디서 웃어야되나 생각 들고중간..살짝 웃을 때는 돈이 아까워서 웃는 느낌마지막.. 영화 끝나고 나올 때 이선빈은 역시 이쁘구나 끝..,2020.08.17 20:11
1vL(pinm****),8,배정남씨 코믹연기가 너무 웃겼음. 개인적으로는 엄정화씨 캐릭터 연기가 너무 과장된 느낌이라(원래 성격이나 방송 캐릭터랑은 맞는거 같지만) 몰입이 힘들었습니다.,2020.08.17 20:09
철인28호(hs77****),8,오락영화로 딱 좋네요.유쾌하게 잘 봤습니다.,2020.08.17 20:06
호아센테(phjp****),2,오바쎄바 너무심함스토리 전혀 이해할수없음,2020.08.17 20:01
원반(pgs7****),10,기대안하고 봐서그런지 넘 잼나게 봤어요 ㅎㅎ,2020.08.17 20:01
꾸꾸(fbru****),10,,2020.08.17 19:56
카춘(gumm****),8,B급 영화 느낌의 한국 코미디 좋아하면 강추요즘 이런 영화 좋더라,2020.08.17 19:56
ade(3372****),10,진짜진짜진짜재밌음ㅋ ㅋ ㅋ ㅋ억지웃음 아니고 얼굴만봐도 웃김ㅋ ㅋ ㅋ ㅋ 그냥 계속 웃음 ㅋ ㅋ ㅋ ㅋ진짜 추천 스토리가 완전 탄탄한 건 아니라서 시트콤보듯이 가볍게 보면 재밌음 음향?음악?효과도 짱임 겁나 신나고 ...,2020.08.17 19:48
tjs(tjsq****),10,완전 꿀잼!!반전의 반전ㅋㅋ,2020.08.17 19:43
epr(epro****),5,맨처음에 로프와 함께 배우이름이 나오는 것은 미션임파서블4에서 따오고 비행기가 납치되고 폭탄이 있고 싸움 잘하는 주인공은 논스톱에서 따오고 CG는 아직도 너무 싸구려고 반전도 참 많이 등장하는 영화,2020.08.17 19:39
냐미냐미(napo****),8,30대인 염세주의자인 나는 오글거렸는데 50대인 소녀같은 울엄마는 태어나서 본 영화중 가장 재밌었다고해서 행복해졌던 시간.,2020.08.17 19:39
민채(nami****),8,엄정화님 액션연기도 멋있었고 개그도 재밌었다 반전도 많이 있었는데 좀 뻔했음...뻔한 내용이어도 배우님들 연기 덕분에 산듯 재미있어요,2020.08.17 19:36
이유정(eude****),10,최근에본 살아있다 반도 보다 나은듯. 캐쥬얼하고 액션도 괜찮고 반전도 나름ㅋ,2020.08.17 19:36
박미화(algh****),10,갠적으로 재밌는영화.,2020.08.17 19:34
혀내(nano****),8,유치할거 예상하고 보러 간건데 생각보다 덜 유치하고 재밌었어요. 시간이 후딱 지나갔음. 액션도 좋았고 딱 원하던 걸 보고 온 느낌이예요. 배우들 연기가 좋았음 ㅋㅋ,2020.08.17 19:33
모토나니준쿤쓰(sjli****),10,오랜만에 웃었어요 . 너무 유쾌한 영화였어요 굿굿,2020.08.17 19:32
올마이티히터(stap****),4,그냥저냥 저렴한 코믹요소 줄이고 오히려 엄정화의 액션씬에 더 충실했다면,2020.08.17 19:27
깔끔신사(0416****),3,유치뽕짝 코미디에 코드를 맞추지 못하면 괴로운 상영시간,2020.08.17 19:25
주라(for0****),10,"가족들과 함께 잼있게 볼수있는 영화에요~너무폭력적이고 잔인한거 싫어하는데,,딱 정닥한 액션씬과 감동, 반전 잼있게 잘봤어요^^",2020.08.17 19:24
김경열(nsip****),10,진짜 재미있었어요 액션이 정말 멋져요,2020.08.17 19:19
이름없음(zxcc****),4,액션씬은 괜찮았는데 연기가 오글거리고 스토리가 너무 유치했어요. 특히 배정남님 연기가 너무 오버해서 보기 민망했어요,2020.08.17 19:15
류아름(07ar****),10,처음에 정말 기대없이 봤는데 배우분들의 액션이 정말 인상적이었고 중간중간 너무 웃겨서 보다가 현실웃음 터졌어요 친구든 가족이든 아무생각없이 심심할때 봐도 정말 좋은 영화 같아요 쿠키영상이 2개가 있었는데 딱히 길지않...,2020.08.17 19:13
