아았(s017****),8,"살아있다땜에 기대 안하고 봤는데 재밌었어용 후반부 질질 끌지말고 신파 아니었으면 더 좋었을텐뎅,,,,ㅠㅠ그래두 서대위라는 캐릭터가 참 조았어요",2020.08.18 10:33
오연지(hell****),8,킬링타임용으로 좋았어요,2020.08.18 10:14
김민규(kmg9****),5,신파 지림,2020.08.18 10:12
케미(losc****),10,,2020.08.18 09:57
lgs4****,8,잘 봤어요 강동원이 좋아요 ㅎㅎ,2020.08.18 09:56
lgs4****,8,잘 봤어요 강동원이 좋아요 ㅎㅎ,2020.08.18 09:56
elto****,1,어설프게 헐리웃영화 따라하지말고 한국영화는 한국영화답게 한국정서에 맞춰서,2020.08.18 08:38
tak8****,10,와 우리나라도 이제 영화 선진국이다 자랑스럽다,2020.08.18 03:53
wye0****,1,처음으로 영화보다 중간에 나왔음,2020.08.18 03:21
이삭(john****),4,예상가능하고 자루하고 알멩이 없고차광고,2020.08.18 02:32
봄(1023****),7,후기 안좋길래 걱정했는데 내기준 막 별로는 아니고 적당히 볼만함,2020.08.18 02:07
챠밍블루(tjse****),1,감동도 재미도 없는 덜떨어진 영화. 이딴 촌티나는 영화는 왜 만든 거냐?,2020.08.18 01:13
tona****,6,"액션성이나 스토리, 연기, 대사, 흥미도 과장해서 부산행 반도 안되는듯. 많은 장면들이 설득력 등이 매우 떨어졌음. 마지막 이정현과 딸들의 억지 감동까지 하나도 안 슬펐음.",2020.08.18 00:58
ILB(rlaw****),10,왜 평점이 이렇게까지 낮지? 사람마다 다르겠지만 나는 너무 재미있게 봤음.. 감동을 쥐어짜낸다는게 틀린말은 아닌거같지만 난 괜찮았는데.. 일단 강동원 너무 잘생겼어,2020.08.18 00:21
연어시대주안점(lsh6****),4,초반에는약간긴장감갈수록 자동차영화ㅋㅋ좀비영화가아님ㅋㅋㅋㅋ비추천,2020.08.17 23:52
서홍석(sbm0****),10,정말 재미있게 잘 봤습니다 반도에 출연 해주신 배우들 너무 고생 하셨습니다 반도가 너무 재미있었고 스릴러 넘치고 무서운 부분도 많았지만 마지막에 감동도 받았습니다 전 개인적으로 너무 맘에 들었습니다 부산행도 재밌었지...,2020.08.17 23:32
나무(ssga****),2,배우 선택은  훌륭해 요.시나리오 개엉망. .관객모독작품,2020.08.17 23:31
ba04****,8,"너무재밌었어요~강동원 배우님도 좋아하지만 구교환이란 배우의 새로운 발견, 영상미도 좋고 이 여름에 보기 정말 스릴있고 좋아요!  무료한 일상의 활력이 되었습니당 잘 봤어요:)!♡",2020.08.17 23:17
류자바(ryuj****),10,너무 너무 재미있었습니다.아 한국영화가 헐리우드 영화를 따라잡았구나 하고 생각하게 만든영화였습니다. 잔인한요소가 소폭감소하고 액션이 많이 늘음. 특히 독특한 캐릭터들이 많이 나오는데 정말 좋은배우들을 잘캐스팅한것 같...,2020.08.17 23:08
2U(caru****),10,서대위 사랑해 날 가져..,2020.08.17 22:45
박지영(jiyo****),8,좀비 개많고 난 자동차액션이 넘 잼썼음 근데 내용은 별로임 ㅎㅎㅎ 배우님들 최고임,2020.08.17 22:40
cine****,9,참 재미 있게  봤습니다.스토리는 좀 빈약 하지만 연출이나 볼거리는 있습니다.,2020.08.17 22:26
청주여자(suju****),6,부산행과 비교가 많이되네요ㅠ,2020.08.17 22:21
